route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
66503,1,44087080,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905692,918159,1,1
66503,1,44087081,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087067,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087173,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087078,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087058,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087094,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
66503,1,44087165,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087086,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087087,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087066,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087065,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087131,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
66503,1,44087130,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087129,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087128,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087064,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087063,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087153,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
66503,1,44087135,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087136,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087137,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087073,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087166,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087104,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
66503,1,44087141,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087191,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905690,918160,1,1
66503,1,44087190,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905696,918160,1,1
66503,1,44087189,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905691,918160,1,1
66503,1,44087188,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905687,918160,1,1
66503,1,44087187,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905695,918160,1,1
66503,1,44087186,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905688,918160,1,1
66503,1,44087206,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905689,918160,1,1
66503,1,44087205,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905692,918160,1,1
66503,1,44087204,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905694,918160,1,1
66503,1,44087203,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905693,918160,1,1
66503,1,44087184,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905690,918160,1,1
66503,1,44087197,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905696,918160,1,1
66503,1,44087198,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905691,918160,1,1
66503,1,44087199,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905687,918160,1,1
66503,1,44087200,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905695,918160,1,1
66503,1,44087201,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905688,918160,1,1
66503,1,44087202,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905689,918160,1,1
66503,1,44087194,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905692,918160,1,1
66503,1,44087195,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905694,918160,1,1
66503,1,44087196,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905693,918160,1,1
66503,1,44087185,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905690,918160,1,1
66503,1,44087192,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905696,918160,1,1
66503,1,44087193,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905691,918160,1,1
66503,1,44087267,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905687,918160,1,1
66503,1,44087314,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905695,918160,1,1
66503,1,44087315,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905688,918160,1,1
66503,1,44087211,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905689,918160,1,1
66503,1,44087212,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905692,918160,1,1
66503,1,44087213,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905694,918160,1,1
66503,1,44087238,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905693,918160,1,1
66503,1,44087239,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905690,918160,1,1
66503,1,44087310,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905696,918160,1,1
66503,1,44087311,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905691,918160,1,1
66503,1,44087312,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905687,918160,1,1
66503,1,44087313,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905695,918160,1,1
66503,1,44087276,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905688,918160,1,1
66503,1,44087275,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905689,918160,1,1
66503,1,44087214,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905692,918160,1,1
66503,1,44087274,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905693,918160,1,1
66503,1,44087273,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905690,918160,1,1
66503,1,44087272,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905691,918160,1,1
66503,1,44087271,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905687,918160,1,1
66503,1,44087270,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905688,918160,1,1
66503,1,44087269,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905689,918160,1,1
66503,1,44087268,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905692,918160,1,1
66503,1,44087266,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905693,918160,1,1
66503,1,44087321,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905690,918160,1,1
66503,1,44087320,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905691,918160,1,1
66503,1,44087319,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905687,918160,1,1
66503,1,44087318,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905688,918160,1,1
66503,1,44087317,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905689,918160,1,1
66503,1,44087215,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905692,918160,1,1
66503,1,44087316,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905693,918160,1,1
66503,1,44087250,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905690,918160,1,1
66503,1,44087249,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905691,918160,1,1
66503,1,44087248,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905687,918160,1,1
66503,1,44087247,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905688,918160,1,1
66503,1,44087246,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905689,918160,1,1
66503,1,44087245,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905692,918160,1,1
66503,1,44087244,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905693,918160,1,1
66503,1,44087308,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905690,918160,1,1
66503,1,44087294,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905691,918160,1,1
66503,1,44087260,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905687,918160,1,1
66503,1,44087259,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905688,918160,1,1
66503,1,44087258,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905689,918160,1,1
66503,1,44087257,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905692,918160,1,1
66503,1,44087265,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905693,918160,1,1
66503,1,44087264,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905690,918160,1,1
66503,1,44087263,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905691,918160,1,1
66503,1,44087280,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,,1,1905687,918160,1,1
